Player,Sheet,IL Sheet,RTA Sheet,Standards,Benchmarks,Bronze,Silver,Gold,Medals,Date
AS_Money,28,23,5,22,10,0,0,0,0,2022-01-01
AdomHaMez,16,15,1,1,0,0,0,0,0,2022-01-01
Bace,25,24,1,4,0,0,0,0,0,2022-01-01
Bert86,10,10,0,9,5,0,0,0,0,2022-01-01
Bunta,6,6,0,2,0,0,0,0,0,2022-01-01
CD_84,2,2,0,2,0,0,0,0,0,2022-01-01
Caseywho,2,2,0,2,0,0,0,0,0,2022-01-01
DJ-Cat,24,24,0,0,0,0,0,0,0,2022-01-01
Dangerless,1,0,1,0,0,0,0,0,0,2022-01-01
DeeEddy,2,2,0,0,0,0,0,0,0,2022-01-01
EliminatorJr,1,1,0,0,0,0,0,0,0,2022-01-01
FPScanada,5,5,0,0,0,0,0,0,0,2022-01-01
Game,24,24,0,24,21,8,0,1,9,2022-01-01
GetLow,1,0,1,0,0,0,0,0,0,2022-01-01
GhillieGuide,26,21,5,10,1,0,0,0,0,2022-01-01
GooglyEyes,2,2,0,2,0,0,0,0,0,2022-01-01
Hayate1017,1,0,1,0,0,0,0,0,0,2022-01-01
HeroProc,3,2,1,2,0,0,0,0,0,2022-01-01
HighestLevelWizard,2,2,0,0,0,0,0,0,0,2022-01-01
Illudude,15,14,1,13,11,3,2,2,7,2022-01-01
Ipsum86,8,7,1,0,0,0,0,0,0,2022-01-01
JJ,2,0,2,0,0,0,0,0,0,2022-01-01
JimB,20,19,1,0,0,0,0,0,0,2022-01-01
KingSolomon,1,1,0,0,0,0,0,0,0,2022-01-01
KoiIroHoshi,26,24,2,17,4,0,0,0,0,2022-01-01
Lucehboii,1,1,0,0,0,0,0,0,0,2022-01-01
MDK1,21,19,2,18,16,3,5,1,9,2022-01-01
MMW,2,2,0,0,0,0,0,0,0,2022-01-01
Mahrla,24,24,0,0,0,0,0,0,0,2022-01-01
Maple_Hood,11,10,1,2,0,0,0,0,0,2022-01-01
MasterLemmon,1,0,1,0,0,0,0,0,0,2022-01-01
MeridianPrime,1,0,1,0,0,0,0,0,0,2022-01-01
MetalHead,29,24,5,19,13,1,0,0,1,2022-01-01
MortimerNova,1,1,0,0,0,0,0,0,0,2022-01-01
MyOhMyPancakes,29,24,5,22,14,2,0,0,2,2022-01-01
NickWarner,8,8,0,4,2,0,0,0,0,2022-01-01
Nordicboa,2,2,0,0,0,0,0,0,0,2022-01-01
Ohme,1,1,0,0,0,0,0,0,0,2022-01-01
P-Nut91,1,1,0,0,0,0,0,0,0,2022-01-01
PasiKienzi,5,5,0,0,0,0,0,0,0,2022-01-01
Ploflo82,2,2,0,0,0,0,0,0,0,2022-01-01
PokerFacowaty,1,0,1,0,0,0,0,0,0,2022-01-01
